"feature","group","avgExpr","logFC","statistic","auc","pval","padj","pct_in","pct_out"
"2697","83-ctrl",-10.1727517162791,4.33900073399095,21990,0.587339743589744,0.00158794425818341,0.0111652653932075,100,100
"1644","47-stim",-13.1758993483421,6.4872340574745,3516,0.651111111111111,0.000225597964738949,0.0111691689606765,100,100
"9936","83-ctrl",-13.845077733021,4.05892112400457,21668.5,0.578752670940171,0.00159064947205481,0.0111770050468018,100,100
"23064","47-ctrl",-2.44032340959274,4.51044496397357,3668,0.679259259259259,0.000226944621252161,0.0111845356035368,100,100
"151246","83-ctrl",-5.24694245880159,5.03583125168197,22173.5,0.592240918803419,0.0015976319178872,0.0112187646647733,100,100
"9440","47-ctrl",-6.59027329637302,7.12209199476007,3618,0.67,0.000229233984053852,0.0112238670512526,100,100
"54069","47-ctrl",-8.60501291748755,6.01179106249895,3594,0.665555555555556,0.00022982253482135,0.0112238670512526,100,100
"10928","47-ctrl",-1.20020093073945,4.83471712814357,3669.5,0.679537037037037,0.000232016381722482,0.0112799676032916,100,100
"54968","83-ctrl",-11.9630737789843,5.03170418564025,21825.5,0.582946047008547,0.00161564649620459,0.0113305215292633,100,100
"2801","47-ctrl",-5.56751147034366,4.92631845551589,3645.5,0.675092592592593,0.000235327022182858,0.0113456785444677,100,100
"10635","47-ctrl",-14.1861210627442,5.88781214260286,3405.5,0.630648148148148,0.000235470396920298,0.0113456785444677,100,100
"27315","83-ctrl",-15.4924994233479,3.86550813536636,21445,0.57278311965812,0.00162141105798755,0.0113635646421166,100,100
"3983","47-ctrl",-5.20144187888741,6.64523977166183,3637,0.673518518518519,0.000238836116213836,0.0114060097446723,100,100
"23197","47-ctrl",-3.34565169591457,4.5547394925033,3661,0.677962962962963,0.00023851404659102,0.0114060097446723,100,100
"26190","83-ctrl",-12.068386322045,4.8054521117372,21823,0.582879273504273,0.00162975396558155,0.0114146233293456,100,100
"10735","83-ctrl",-2.19024128505788,4.35126297802027,22217,0.593402777777778,0.00163262232085029,0.0114198915806463,100,100
"55299","47-ctrl",-7.8254254534049,7.00844362448285,3594,0.665555555555556,0.000241029740846259,0.0114300950628665,100,100
"1382","47-ctrl",-0.59492181631298,3.48731956902141,3669,0.679444444444444,0.000241458507767402,0.0114300950628665,100,100
"675","47-ctrl",-14.5173560232866,5.55263973862653,3396,0.628888888888889,0.000242754285543718,0.0114412532920234,100,100
"57050","47-ctrl",-5.67016422401173,7.32304583903666,3624.5,0.671203703703704,0.00024498926501038,0.0114849731737387,100,100
"51728","47-ctrl",-15.4541878754143,5.10114232835194,3361,0.622407407407407,0.000245810136489729,0.0114849731737387,100,100
"23","83-ctrl",-3.41750124560049,5.66200327098027,22197.5,0.592881944444444,0.00164336778982458,0.0114876091681196,100,100
"84062","83-ctrl",-13.4885248579609,4.39457512555189,21684.5,0.579180021367521,0.00165946344695732,0.0115799789847643,100,100
